Date,Episode,Movies,Documentaries,Shows,Books,Podcasts,Music,Articles,Misc.
10/25/2022,Hasan Minhaj,Jurassic World,,,,,,,
10/25/2022,Hasan Minhaj,La La Land,,,,,,,
10/25/2022,Hasan Minhaj,Zathura,,,,,,,
10/25/2022,Hasan Minhaj,Idiocracy,,,,,,,
,,,,,,,,,
10/27/0222,Felix Gillette & John Koblin,Apocalypse Now,The Defiant Ones,Dream On,It's not TV,Howard Stern,,"Farewell, Millennial Lifestyle Subsidy",7 Dirty Words
10/27/0222,Felix Gillette & John Koblin,Stalin,Hearts of Darkness,Friends,The Night of the Gun,,,,
10/27/0222,Felix Gillette & John Koblin,Moonstruck,American Movie,Curb Your Enthusiasm,,,,,
10/27/0222,Felix Gillette & John Koblin,Footloose,Real Sex,Project Green Light,,,,,
10/27/0222,Felix Gillette & John Koblin,Top Gun,Salesman,THe Come back,,,,,
10/27/0222,Felix Gillette & John Koblin,Dead Ahead: The Exxon Valdez Disaster ,Gang War: Bangin' in Little Rock,Succession,,,,,
10/27/0222,Felix Gillette & John Koblin,,Pradise Lost,Sopranos,,,,,
10/27/0222,Felix Gillette & John Koblin,,Brother's Keeper,Silicon Valley,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Sex and the City,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Dream On,,,,,
10/27/0222,Felix Gillette & John Koblin,,,The Larry Sanders Show,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Oz,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Martin,,,,,
10/27/0222,Felix Gillette & John Koblin,,,If These Walls Could Talk,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Deadwood,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Six Feet Under,,,,,
10/27/0222,Felix Gillette & John Koblin,,,90210,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Melrose Place,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Northern Exposure,,,,,
10/27/0222,Felix Gillette & John Koblin,,,The Rockford Files,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Central Park West,,,,,
10/27/0222,Felix Gillette & John Koblin,,,The Wire,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Game of Thrones,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Eupohoria,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Seinfeld,,,,,
10/27/0222,Felix Gillette & John Koblin,,,The Pacific,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Band of Brothers,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Squid Game,,,,,
10/27/0222,Felix Gillette & John Koblin,,,The Lord of the Rings: The Rings of Power ,,,,,
10/27/0222,Felix Gillette & John Koblin,,,House of the Dragon,,,,,
10/27/0222,Felix Gillette & John Koblin,,,The Sandman,,,,,
10/27/0222,Felix Gillette & John Koblin,,,She-Hulk: Attorney at Law,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Mad Men,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Top Gear America,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Girls,,,,,
10/27/0222,Felix Gillette & John Koblin,,,Sharp Objects,,,,,
10/27/0222,Felix Gillette & John Koblin,,,I May Destroy You,,,,,
,,,,,,,,,
10/31/2022,Gwen Stefani,Far from the Tree,LA Originals,The Simpsons,"Learning Outside the Lines, Jonathan Mooney",Who What Wear,"Don't Speak, No Doubt",,
10/31/2022,Gwen Stefani,Aviator,The Defiant Ones,The Voice,"The Dyslexic Advantiage, Brock Eide, Fernette Eide",Second Life,Valley Girl soundtrack,,
10/31/2022,Gwen Stefani,David and Goliath,,,"Far from the Tree, Andrew Solomon",,"Little Red Corvette, Prince",,
10/31/2022,Gwen Stefani,Valley Girl,,,"Outliers, Malcolm Gladwell",,"What You Waiting For, Gwen Stefani",,
10/31/2022,Gwen Stefani,Frozen,,,,,"Tragic Kingdom, No Doubt",,
10/31/2022,Gwen Stefani,,,,,,Bush,,
10/31/2022,Gwen Stefani,,,,,,Goo Goo Dolls,,
10/31/2022,Gwen Stefani,,,,,,Holler Back Girl,,
10/31/2022,Gwen Stefani,,,,,,"Serious, Gwen Stefani",,
10/31/2022,Gwen Stefani,,,,,,"Glamorous, Fergie",,
10/31/2022,Gwen Stefani,,,,,,"Luxurious, Gwen Stefani",,
10/31/2022,Gwen Stefani,,,,,,"A Boy Named Sue, Johnny Cash",,
10/31/2022,Gwen Stefani,,,,,,"Underneath it All, Gwen Stefani",,
10/31/2022,Gwen Stefani,,,,,,"Happy, Pharrell Williams",,
,,,,,,,,,
11/3/2022,Will Bunch (on college in America),Hocus Pocus,,,"The Brokenm Ladder, Keith Payne","Revisionist History, Food Fight episode",,,
11/3/2022,Will Bunch (on college in America),Hocus Pocus 2,,,"Washington: A Life, Ron Chernow","Revisionist History, Lord of the Rankings",,,
11/3/2022,Will Bunch (on college in America),,,,"The Credential Society, Randall Collins",Rabbit Hole,,,
11/3/2022,Will Bunch (on college in America),,,,"After the Ivory Tower Falls, Will Bunch",,,,
,,,,,,,,,
11/14/2022,John Stamos,Smokey and the Bandit,Selena Gomez: My Mind and Me,Matthew Perry - Diane Sawyer Interview,"Open Book, Jessica Simpson",Howard Stern,Beach Boys,The Comforts of Nostalgia,
11/14/2022,John Stamos,Boogie Nights,The Civil War (Ken Burns),Full House,,Huberman Lab,Summer Nights,,
11/14/2022,John Stamos,Grease,Killer Sally,Fuller House,,,,,
11/14/2022,John Stamos,Hit & Run,Low Country: The Murdaugh Dynasty ,ER,,,,,
11/14/2022,John Stamos,Never Too Young to Die,,General Hospital,,,,,
11/14/2022,John Stamos,Sucker Punch,,Euphoria,,,,,
11/14/2022,John Stamos,Shutter Island,,Big Shot,,,,,
11/14/2022,John Stamos,Don't Worry Darling,,,,,,,
11/14/2022,John Stamos,Fighting with my Family,,,,,,,
11/14/2022,John Stamos,Midsommar,,,,,,,
11/14/2022,John Stamos,Lady Macbeth,,,,,,,
11/14/2022,John Stamos,Outlaw King,,,,,,,
11/14/2022,John Stamos,True Lies,,,,,,,
11/14/2022,John Stamos,The Tragedy of Macbeth,,,,,,,
11/14/2022,John Stamos,Bringing Out the Dead,,Californication,,,,,
,,,,,,,,,
11/7/2022,Constance Wu,Crazy Rich Asians,Untold: The Girlfriend Who Didn’t Exist,Fresh Off the Boat,"Making a Scene, Constance Wu",,,,"Choose Something Like a Star, Robert Frost"
11/7/2022,Constance Wu,Fame,,,"The Fountainhead, Ayn Rand",,,,
11/7/2022,Constance Wu,Save the Last Dance,,,,,,,
11/7/2022,Constance Wu,Clueless,,,,,,,
11/7/2022,Constance Wu,Titanic,,,,,,,
11/7/2022,Constance Wu,Magnolia,,,,,,,
11/7/2022,Constance Wu,Memento,,,,,,,
11/7/2022,Constance Wu,Election,,,,,,,
11/7/2022,Constance Wu,American Beauty,,,,,,,
11/7/2022,Constance Wu,Hustlers,,,,,,,
11/7/2022,Constance Wu,Almost Famous,,,,,,,
,,,,,,,,,
9/22/2022,"Jared Diamond (geographer, historian, ornithologist)",,Making a Murderer,,"Guns, Germs, and Steel: The Fates of Human Societies, Jared Diamond",,,,
